query,author_id,created_at,text,like_count,retweet_count,reply_count,quote_count,sentiment,platform
"""LeapScholar"" lang:en -is:retweet",1932091456619175936,2025-08-05 14:02:43,"⋆. 𐙚 ˚ 05/08 — studying English, today is a long day. — link : https://t.co/WKD6QsHNib https://t.co/XQZfm3abc3",9,0,0,0,Positive,Twitter
"""LeapScholar"" lang:en -is:retweet",1055415252,2025-08-04 08:21:57,"@TRAI @DoT_India @cyberdost @CyberCrimePbInd ,I am writing to file a complaint regarding unsolicited calls from a @LeapScholar 's Ludhiana office. For the past six months, I have been receiving calls on my number, which is registered on the DND (Do Not Disturb) list. 1 of 3",1,1,2,0,Negative,Twitter
"""LeapScholar"" ""IELTS"" lang:en -is:retweet",1932091456619175936,2025-08-05 14:02:43,"⋆. 𐙚 ˚ 05/08 — studying English, today is a long day. — link : https://t.co/WKD6QsHNib https://t.co/XQZfm3abc3",9,0,0,0,Positive,Twitter
